label,train_test_split,file_path,channel_width,chunk
M4M5,Train,Allen/crops/230741.ome.tiff,374,Allen
M0,Task_one,Allen/crops/230745.ome.tiff,374,Allen
M0,Train,Allen/crops/230746.ome.tiff,374,Allen
M6M7_single,Train,Allen/crops/230748.ome.tiff,374,Allen
M0,Task_one,Allen/crops/230754.ome.tiff,374,Allen
M0,Train,Allen/crops/230755.ome.tiff,374,Allen
M0,Train,Allen/crops/230757.ome.tiff,374,Allen
M0,Task_one,Allen/crops/230758.ome.tiff,374,Allen
M0,Train,Allen/crops/230759.ome.tiff,374,Allen
M0,Train,Allen/crops/230760.ome.tiff,374,Allen
M0,Train,Allen/crops/230761.ome.tiff,374,Allen
M0,Train,Allen/crops/230762.ome.tiff,374,Allen
M0,Task_one,Allen/crops/230763.ome.tiff,374,Allen
M0,Train,Allen/crops/230764.ome.tiff,374,Allen
M0,Train,Allen/crops/230765.ome.tiff,374,Allen
M0,Train,Allen/crops/230775.ome.tiff,374,Allen
M0,Task_one,Allen/crops/230777.ome.tiff,374,Allen
M0,Train,Allen/crops/230783.ome.tiff,374,Allen
M0,Train,Allen/crops/230784.ome.tiff,374,Allen
M0,Train,Allen/crops/230877.ome.tiff,374,Allen
M0,Train,Allen/crops/230882.ome.tiff,374,Allen
M0,Train,Allen/crops/230883.ome.tiff,374,Allen
M0,Train,Allen/crops/230884.ome.tiff,374,Allen
M0,Train,Allen/crops/230885.ome.tiff,374,Allen
M0,Train,Allen/crops/230886.ome.tiff,374,Allen
M0,Train,Allen/crops/230888.ome.tiff,374,Allen
M0,Train,Allen/crops/230893.ome.tiff,374,Allen
M0,Train,Allen/crops/230894.ome.tiff,374,Allen
M0,Train,Allen/crops/230896.ome.tiff,374,Allen
M0,Train,Allen/crops/230899.ome.tiff,374,Allen
M0,Train,Allen/crops/230900.ome.tiff,374,Allen
M0,Train,Allen/crops/230901.ome.tiff,374,Allen
M0,Train,Allen/crops/230907.ome.tiff,374,Allen
M0,Task_one,Allen/crops/230908.ome.tiff,374,Allen
M0,Task_one,Allen/crops/230910.ome.tiff,374,Allen
M0,Task_one,Allen/crops/230913.ome.tiff,374,Allen
M0,Task_one,Allen/crops/231005.ome.tiff,374,Allen
M0,Task_one,Allen/crops/231006.ome.tiff,374,Allen
M4M5,Train,Allen/crops/231008.ome.tiff,374,Allen
M0,Train,Allen/crops/231009.ome.tiff,374,Allen
M0,Train,Allen/crops/231013.ome.tiff,374,Allen
M0,Train,Allen/crops/231015.ome.tiff,374,Allen
M0,Train,Allen/crops/231016.ome.tiff,374,Allen
M0,Train,Allen/crops/231017.ome.tiff,374,Allen
M0,Train,Allen/crops/231018.ome.tiff,374,Allen
M0,Task_one,Allen/crops/231020.ome.tiff,374,Allen
M0,Train,Allen/crops/231026.ome.tiff,374,Allen
M1M2,Train,Allen/crops/231028.ome.tiff,374,Allen
M0,Task_one,Allen/crops/231029.ome.tiff,374,Allen
M0,Train,Allen/crops/231034.ome.tiff,374,Allen
M0,Train,Allen/crops/231035.ome.tiff,374,Allen
M0,Train,Allen/crops/231037.ome.tiff,374,Allen
M4M5,Train,Allen/crops/231120.ome.tiff,374,Allen
M0,Train,Allen/crops/231122.ome.tiff,374,Allen
M0,Train,Allen/crops/231128.ome.tiff,374,Allen
M0,Train,Allen/crops/231129.ome.tiff,374,Allen
M0,Train,Allen/crops/231130.ome.tiff,374,Allen
M0,Train,Allen/crops/231131.ome.tiff,374,Allen
M0,Task_one,Allen/crops/231133.ome.tiff,374,Allen
M0,Train,Allen/crops/231136.ome.tiff,374,Allen
M0,Train,Allen/crops/231137.ome.tiff,374,Allen
M3,Train,Allen/crops/231218.ome.tiff,374,Allen
M0,Train,Allen/crops/231219.ome.tiff,374,Allen
M0,Train,Allen/crops/231220.ome.tiff,374,Allen
